J[0]	k[0]	kp[0]	c[0]	J[1]	k[1]	kp[1]	c[1]
29.245	29.179	27.177	3.169	29.525	29.179	28.128	3.218
29.260	29.229	27.227	3.171	29.539	29.229	28.178	3.220
29.274	29.279	27.277	3.173	29.554	29.279	28.228	3.222
29.289	29.329	27.327	3.175	29.568	29.329	28.278	3.224
29.304	29.379	27.377	3.177	29.583	29.379	28.328	3.226
29.318	29.429	27.427	3.179	29.597	29.429	28.378	3.228
29.333	29.479	27.477	3.181	29.612	29.479	28.428	3.230
29.347	29.530	27.528	3.183	29.626	29.530	28.478	3.232
29.362	29.580	27.578	3.185	29.641	29.580	28.529	3.234
29.377	29.630	27.628	3.187	29.655	29.630	28.579	3.236
29.391	29.680	27.678	3.189	29.670	29.680	28.629	3.238
29.406	29.730	27.728	3.191	29.684	29.730	28.679	3.240
29.420	29.780	27.778	3.193	29.698	29.780	28.729	3.242
29.435	29.830	27.828	3.195	29.713	29.830	28.779	3.244
29.449	29.880	27.878	3.197	29.727	29.880	28.829	3.246
29.464	29.930	27.928	3.199	29.742	29.930	28.829	3.298
29.478	29.980	27.978	3.201	29.756	29.980	28.879	3.300
29.493	30.030	28.028	3.203	29.770	30.030	28.929	3.302
29.507	30.080	28.078	3.205	29.785	30.080	28.979	3.304
29.522	30.130	28.128	3.207	29.799	30.130	29.029	3.306
29.536	30.180	28.178	3.209	29.813	30.180	29.079	3.308
29.551	30.230	28.228	3.211	29.828	30.230	29.129	3.310
29.565	30.280	28.278	3.213	29.842	30.280	29.179	3.312
29.580	30.330	28.328	3.215	29.856	30.330	29.229	3.314
29.594	30.380	28.378	3.217	29.871	30.380	29.279	3.316
29.609	30.430	28.428	3.219	29.885	30.430	29.329	3.318
29.623	30.480	28.478	3.221	29.899	30.480	29.379	3.320
29.638	30.531	28.529	3.223	29.914	30.531	29.429	3.322
29.652	30.581	28.529	3.275	29.928	30.581	29.479	3.324
29.667	30.631	28.579	3.277	29.942	30.631	29.530	3.326
29.681	30.681	28.629	3.279	29.957	30.681	29.580	3.328
29.695	30.731	28.679	3.281	29.971	30.731	29.630	3.330
29.710	30.781	28.729	3.283	29.985	30.781	29.680	3.332
29.724	30.831	28.779	3.285	29.999	30.831	29.730	3.334
29.739	30.881	28.829	3.287	30.014	30.881	29.780	3.336
29.753	30.931	28.879	3.289	30.028	30.931	29.830	3.338
29.767	30.981	28.929	3.291	30.042	30.981	29.880	3.340
29.782	31.031	28.979	3.293	30.056	31.031	29.930	3.342
29.796	31.081	29.029	3.295	30.071	31.081	29.980	3.344
29.810	31.131	29.079	3.297	30.085	31.131	30.030	3.346
29.825	31.181	29.129	3.299	30.099	31.181	30.080	3.348
29.839	31.231	29.179	3.301	30.113	31.231	30.130	3.350
29.853	31.281	29.229	3.303	30.127	31.281	30.180	3.352
29.868	31.331	29.279	3.305	30.142	31.331	30.230	3.354
29.882	31.381	29.329	3.307	30.156	31.381	30.280	3.356
29.896	31.431	29.379	3.309	30.170	31.431	30.330	3.358
29.911	31.481	29.429	3.311	30.184	31.481	30.380	3.360
29.925	31.532	29.479	3.313	30.198	31.532	30.430	3.362
29.939	31.582	29.530	3.315	30.212	31.582	30.480	3.364
29.954	31.632	29.580	3.317	30.227	31.632	30.531	3.366
29.968	31.682	29.630	3.319	30.241	31.682	30.581	3.368
29.982	31.732	29.680	3.321	30.255	31.732	30.631	3.370
29.996	31.782	29.730	3.323	30.269	31.782	30.681	3.372
30.011	31.832	29.780	3.325	30.283	31.832	30.731	3.374
30.025	31.882	29.830	3.327	30.297	31.882	30.731	3.426
30.039	31.932	29.880	3.329	30.311	31.932	30.781	3.428
30.053	31.982	29.930	3.331	30.325	31.982	30.831	3.430
30.068	32.032	29.980	3.333	30.339	32.032	30.881	3.432
30.082	32.082	30.030	3.335	30.354	32.082	30.931	3.434
30.096	32.132	30.080	3.337	30.368	32.132	30.981	3.436
30.110	32.182	30.130	3.339	30.382	32.182	31.031	3.438
30.124	32.232	30.180	3.341	30.396	32.232	31.081	3.440
30.139	32.282	30.230	3.343	30.410	32.282	31.131	3.442
30.153	32.332	30.280	3.345	30.424	32.332	31.181	3.444
30.167	32.382	30.330	3.347	30.438	32.382	31.231	3.446
30.181	32.432	30.330	3.399	30.452	32.432	31.281	3.448
30.195	32.482	30.380	3.401	30.466	32.482	31.331	3.450
30.209	32.533	30.430	3.403	30.480	32.533	31.381	3.452
30.224	32.583	30.480	3.405	30.494	32.583	31.431	3.454
30.238	32.633	30.531	3.407	30.508	32.633	31.481	3.456
30.252	32.683	30.581	3.409	30.522	32.683	31.532	3.458
30.266	32.733	30.631	3.411	30.536	32.733	31.582	3.460
30.280	32.783	30.681	3.413	30.550	32.783	31.632	3.462
30.294	32.833	30.731	3.415	30.564	32.833	31.682	3.464
30.308	32.883	30.781	3.417	30.578	32.883	31.732	3.466
30.322	32.933	30.831	3.419	30.592	32.933	31.782	3.468
30.337	32.983	30.881	3.421	30.606	32.983	31.832	3.470
30.351	33.033	30.931	3.423	30.620	33.033	31.882	3.472
30.365	33.083	30.981	3.425	30.634	33.083	31.932	3.474
30.379	33.133	31.031	3.427	30.648	33.133	31.982	3.476
30.393	33.183	31.081	3.429	30.662	33.183	32.032	3.478
30.407	33.233	31.131	3.431	30.676	33.233	32.082	3.480
30.421	33.283	31.181	3.433	30.690	33.283	32.132	3.482
30.435	33.333	31.231	3.435	30.704	33.333	32.182	3.484
30.449	33.383	31.281	3.437	30.717	33.383	32.232	3.486
30.463	33.433	31.331	3.439	30.731	33.433	32.282	3.488
30.477	33.483	31.381	3.441	30.745	33.483	32.332	3.490
30.491	33.534	31.431	3.443	30.759	33.534	32.382	3.492
30.505	33.584	31.481	3.445	30.773	33.584	32.432	3.494
30.519	33.634	31.532	3.447	30.787	33.634	32.482	3.496
30.533	33.684	31.582	3.449	30.801	33.684	32.533	3.498
30.547	33.734	31.632	3.451	30.815	33.734	32.583	3.501
30.561	33.784	31.682	3.453	30.828	33.784	32.583	3.553
30.575	33.834	31.732	3.455	30.842	33.834	32.633	3.555
30.589	33.884	31.782	3.457	30.856	33.884	32.683	3.557
30.603	33.934	31.832	3.459	30.870	33.934	32.733	3.559
30.617	33.984	31.882	3.461	30.884	33.984	32.783	3.561
30.631	34.034	31.932	3.463	30.898	34.034	32.833	3.563
30.645	34.084	31.982	3.465	30.912	34.084	32.883	3.565
30.659	34.134	32.032	3.467	30.925	34.134	32.933	3.567
30.673	34.184	32.082	3.469	30.939	34.184	32.983	3.569
